*History for Amtrak ALL TRAINS at SLM (Salem, OR)
*Train #	Sch Dp	Act Dp
11	07/24/2019 3:37 PM (We)	4:01PM
14	07/24/2019 1:55 PM (We)	7:47PM
511	07/24/2019 10:51 AM (We)	11:05AM
500	07/24/2019 6:41 AM (We)	6:45AM
505	07/23/2019 7:11 PM (Tu)	7:25PM
508	07/23/2019 5:41 PM (Tu)	5:56PM
11	07/23/2019 3:37 PM (Tu)	4:34PM
14	07/23/2019 1:55 PM (Tu)	3:49PM
511	07/23/2019 10:51 AM (Tu)	11:05AM
500	07/23/2019 6:41 AM (Tu)	6:51AM
505	07/22/2019 7:11 PM (Mo)	7:49PM
508	07/22/2019 5:41 PM (Mo)	5:56PM
11	07/22/2019 3:37 PM (Mo)	3:50PM
14	07/22/2019 1:55 PM (Mo)	2:11PM
511	07/22/2019 10:51 AM (Mo)	11:07AM
500	07/22/2019 6:41 AM (Mo)	6:45AM
505	07/21/2019 7:11 PM (Su)	8:09PM
508	07/21/2019 5:41 PM (Su)	5:58PM
11	07/21/2019 3:37 PM (Su)	4:08PM
14	07/21/2019 1:55 PM (Su)	2:39PM
513	07/21/2019 1:36 PM (Su)	1:45PM
506	07/21/2019 10:11 AM (Su)	10:16AM
505	07/20/2019 7:11 PM (Sa)	7:22PM
508	07/20/2019 5:41 PM (Sa)	5:43PM
11	07/20/2019 3:37 PM (Sa)	3:45PM
14	07/20/2019 1:55 PM (Sa)	2:10PM
513	07/20/2019 1:36 PM (Sa)	1:53PM
506	07/20/2019 10:11 AM (Sa)	10:18AM
505	07/19/2019 7:11 PM (Fr)	7:32PM
508	07/19/2019 5:41 PM (Fr)	5:42PM
11	07/19/2019 3:37 PM (Fr)	4:09PM
14	07/19/2019 1:55 PM (Fr)	3:05PM
511	07/19/2019 10:51 AM (Fr)	10:58AM
500	07/19/2019 6:41 AM (Fr)	6:46AM
505	07/18/2019 7:11 PM (Th)	7:33PM
508	07/18/2019 5:41 PM (Th)	6:07PM
11	07/18/2019 3:37 PM (Th)	4:11PM
14	07/18/2019 1:55 PM (Th)	2:21PM
511	07/18/2019 10:51 AM (Th)	11:18AM
500	07/18/2019 6:41 AM (Th)	6:50AM
505	07/17/2019 7:11 PM (We)	7:33PM
508	07/17/2019 5:41 PM (We)	5:43PM
11	07/17/2019 3:37 PM (We)	4:04PM
14	07/17/2019 1:55 PM (We)	2:26PM
511	07/17/2019 10:51 AM (We)	11:00AM
500	07/17/2019 6:41 AM (We)	6:45AM
505	07/16/2019 7:11 PM (Tu)	7:49PM
508	07/16/2019 5:41 PM (Tu)	5:52PM
11	07/16/2019 3:37 PM (Tu)	4:31PM
14	07/16/2019 1:55 PM (Tu)	1:56PM
511	07/16/2019 10:51 AM (Tu)	11:39AM
500	07/16/2019 6:41 AM (Tu)	6:43AM
505	07/15/2019 7:11 PM (Mo)	
508	07/15/2019 5:41 PM (Mo)	
11	07/15/2019 3:37 PM (Mo)	4:50PM
14	07/15/2019 1:55 PM (Mo)	3:47PM
511	07/15/2019 10:51 AM (Mo)	11:05AM
500	07/15/2019 6:41 AM (Mo)	6:43AM
505	07/14/2019 7:11 PM (Su)	7:35PM
508	07/14/2019 5:41 PM (Su)	5:45PM
11	07/14/2019 3:37 PM (Su)	3:44PM
14	07/14/2019 1:55 PM (Su)	4:02PM
513	07/14/2019 1:36 PM (Su)	1:51PM
506	07/14/2019 10:11 AM (Su)	10:17AM
505	07/13/2019 7:11 PM (Sa)	7:50PM
508	07/13/2019 5:41 PM (Sa)	5:58PM
11	07/13/2019 3:37 PM (Sa)	4:40PM
14	07/13/2019 1:55 PM (Sa)	2:48PM
513	07/13/2019 1:36 PM (Sa)	2:14PM
506	07/13/2019 10:11 AM (Sa)	10:20AM
505	07/12/2019 7:11 PM (Fr)	8:04PM
508	07/12/2019 5:41 PM (Fr)	5:50PM
11	07/12/2019 3:37 PM (Fr)	3:49PM
14	07/12/2019 1:55 PM (Fr)	2:39PM
511	07/12/2019 10:51 AM (Fr)	11:03AM
500	07/12/2019 6:41 AM (Fr)	6:59AM
505	07/11/2019 7:11 PM (Th)	8:11PM
508	07/11/2019 5:41 PM (Th)	5:52PM
11	07/11/2019 3:37 PM (Th)	4:33PM
14	07/11/2019 1:55 PM (Th)	3:18PM
511	07/11/2019 10:51 AM (Th)	11:07AM
500	07/11/2019 6:41 AM (Th)	6:48AM
505	07/10/2019 7:11 PM (We)	7:40PM
508	07/10/2019 5:41 PM (We)	5:43PM
11	07/10/2019 3:37 PM (We)	3:53PM
14	07/10/2019 1:55 PM (We)	2:03PM
511	07/10/2019 10:51 AM (We)	11:14AM
500	07/10/2019 6:41 AM (We)	6:49AM
505	07/09/2019 7:11 PM (Tu)	7:40PM
508	07/09/2019 5:41 PM (Tu)	5:49PM
11	07/09/2019 3:37 PM (Tu)	4:01PM
14	07/09/2019 1:55 PM (Tu)	3:21PM
511	07/09/2019 10:51 AM (Tu)	11:08AM
500	07/09/2019 6:41 AM (Tu)	6:43AM
505	07/08/2019 7:11 PM (Mo)	7:22PM
508	07/08/2019 5:41 PM (Mo)	5:49PM
11	07/08/2019 3:37 PM (Mo)	3:45PM
14	07/08/2019 1:55 PM (Mo)	2:21PM
511	07/08/2019 10:51 AM (Mo)	11:11AM
500	07/08/2019 6:41 AM (Mo)	6:44AM
505	07/07/2019 7:11 PM (Su)	7:34PM
508	07/07/2019 5:41 PM (Su)	5:44PM
11	07/07/2019 3:37 PM (Su)	3:52PM
